CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,NumProducts,SupportCalls,ContractType,PaymentMethod,InternetService,Churn
CUST00000,65,7,23.39,163.76,5,2,One Year,Credit Card,Fiber Optic,1
CUST00001,43,55,88.3,5082.31,4,3,Two Year,Credit Card,Fiber Optic,0
CUST00002,57,47,115.05,5070.16,3,8,Month-to-Month,Credit Card,No,0
CUST00003,72,32,102.92,3256.26,1,1,Month-to-Month,Mailed Check,DSL,1
CUST00004,20,31,47.72,1488.94,1,1,One Year,Mailed Check,DSL,0
CUST00005,24,61,25.33,1618.09,2,3,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00006,70,7,114.04,872.4,3,6,One Year,Electronic Check,DSL,0
CUST00007,50,50,113.71,6081.32,5,8,One Year,Credit Card,Fiber Optic,0
CUST00008,53,15,73.24,1125.32,1,5,One Year,Bank Transfer,Fiber Optic,0
CUST00009,37,7,84.23,599.49,3,4,Month-to-Month,Bank Transfer,No,1
CUST00010,65,38,66.26,2569.84,2,8,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00011,54,70,61.98,4377.56,1,1,Two Year,Electronic Check,Fiber Optic,0
CUST00012,32,53,31.94,1543.87,4,9,Month-to-Month,Credit Card,No,0
CUST00013,54,55,29.68,1696.87,4,3,Month-to-Month,Electronic Check,DSL,0
CUST00014,18,51,43.27,2302.42,5,2,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00015,31,56,103.66,5819.68,3,9,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00016,29,37,34.58,1374.37,2,6,Month-to-Month,Bank Transfer,DSL,0
CUST00017,62,10,42.67,441.41,5,4,Month-to-Month,Electronic Check,DSL,1
CUST00018,59,60,74.86,4368.31,2,3,One Year,Electronic Check,Fiber Optic,0
CUST00019,23,32,41.51,1200.81,4,4,One Year,Bank Transfer,Fiber Optic,0
CUST00020,69,36,36.32,1192.26,5,7,Two Year,Credit Card,Fiber Optic,0
CUST00021,64,27,76.33,1999.87,1,1,Two Year,Mailed Check,DSL,0
CUST00022,42,13,56.81,732.92,5,1,Month-to-Month,Credit Card,DSL,0
CUST00023,30,66,82.62,5089.36,2,3,Month-to-Month,Electronic Check,No,1
CUST00024,41,56,111.22,5841.36,3,4,Two Year,Bank Transfer,DSL,0
CUST00025,51,46,35.1,1527.45,2,8,Month-to-Month,Mailed Check,No,0
CUST00026,53,29,111.34,3410.11,1,2,Month-to-Month,Credit Card,Fiber Optic,0
CUST00027,37,59,110.25,6857.62,4,7,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00028,23,39,102.91,3919.48,3,9,One Year,Electronic Check,DSL,1
CUST00029,52,32,83.13,2485.81,3,4,Month-to-Month,Electronic Check,No,1
CUST00030,58,32,82.01,2420.24,3,9,Month-to-Month,Credit Card,No,0
CUST00031,33,17,83.92,1308.86,4,8,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00032,54,7,89.05,609.79,5,7,One Year,Bank Transfer,Fiber Optic,0
CUST00033,50,40,21.65,787.22,3,3,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00034,46,64,115.81,7165.18,1,3,One Year,Electronic Check,DSL,0
CUST00035,18,5,78.56,429.06,2,8,Month-to-Month,Bank Transfer,No,1
CUST00036,35,61,98.15,5995.93,3,4,Month-to-Month,Mailed Check,DSL,1
CUST00037,39,59,57.73,3625.75,1,0,Month-to-Month,Credit Card,Fiber Optic,0
CUST00038,65,20,21.24,393.3,2,7,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00039,65,45,70.97,3045.66,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00040,67,12,70.72,924.42,5,9,Two Year,Electronic Check,Fiber Optic,0
CUST00041,44,54,63.7,3359.63,3,8,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00042,36,50,53.97,2778.68,5,1,Two Year,Bank Transfer,DSL,0
CUST00043,46,26,44.98,1280.92,3,9,Month-to-Month,Mailed Check,DSL,1
CUST00044,63,5,72.75,367.47,3,9,Month-to-Month,Electronic Check,DSL,1
CUST00045,53,69,57.53,3814.89,5,7,One Year,Credit Card,No,0
CUST00046,52,32,116.99,3767.7,4,2,Two Year,Electronic Check,DSL,0
CUST00047,42,64,37.29,2174.14,2,6,Month-to-Month,Mailed Check,No,0
CUST00048,57,49,51.97,2348.95,2,8,Month-to-Month,Credit Card,DSL,1
CUST00049,67,56,49.4,2493.53,4,8,One Year,Bank Transfer,No,0
CUST00050,56,54,74.33,4322.3,1,4,Month-to-Month,Electronic Check,Fiber Optic,1
